id,title,parent_id,path,source_id,taxonomy_id,item_id
26629,Geospatial information systems and geospatial data modelling,26623,/26212/26623/26629,401302,100,21341694
26275,Biomedical imaging,26263,/26212/26263/26275,400304,100,22598359
26209,Other education not elsewhere classified,26206,/26065/26206/26209,399999,100,22598287
24193,Genomics and transcriptomics,24181,/24130/24181/24193,310204,100,22595983
24199,Sequence analysis,24181,/24130/24181/24199,310206,100,22595983
24238,Ecology not elsewhere classified,24211,/24130/24211/24238,310399,100,22203250
26902,Ecological applications not elsewhere classified,26881,/26863/26881/26902,410299,100,22203250
24451,Global change biology,24445,/24130/24445/24451,319902,100,22203250
24190,Computational ecology and phylogenetics,24181,/24130/24181/24190,310203,100,22203250
26872,Ecological impacts of climate change and ecological adaptation,26866,/26863/26866/26872,410102,100,22203250
26998,Other environmental sciences not elsewhere classified,26995,/26863/26995/26998,419999,100,22203250
26932,Conservation and biodiversity,26929,/26863/26929/26932,410401,100,22203250
26935,Environmental assessment and monitoring,26929,/26863/26929/26935,410402,100,22203250
26944,Environmental rehabilitation and restoration,26929,/26863/26929/26944,410405,100,22203250
26947,Natural resource management,26929,/26863/26929/26947,410406,100,22203250
26950,Wildlife and habitat management,26929,/26863/26929/26950,410407,100,22203250
27205,Public health not elsewhere classified,27184,/27001/27184/27205,420699,100,22593460
27628,Health policy,27610,/27391/27610/27628,440706,100,22593460
25759,Climatology,25753,/25717/25753/25759,370202,100,21650909
25759,Climatology,25753,/25717/25753/25759,370202,100,21650951
24310,Genomics,24283,/24130/24283/24310,310509,100,22591477
26926,Environmental biotechnology not elsewhere classified,26905,/26863/26905/26926,410399,100,22591477
24310,Genomics,24283,/24130/24283/24310,310509,100,22591207
26926,Environmental biotechnology not elsewhere classified,26905,/26863/26905/26926,410399,100,22591207
26629,Geospatial information systems and geospatial data modelling,26623,/26212/26623/26629,401302,100,22591435
28846,Modelling and simulation,28825,/28798/28825/28846,460207,100,22591435
24136,Analytical biochemistry,24133,/24130/24133/24136,310101,100,22590289
26464,"Electrical energy generation (incl. renewables, excl. photovoltaics)",26455,/26212/26455/26464,400803,100,17040626
28843,Knowledge representation and reasoning,28825,/28798/28825/28843,460206,100,17040626
